gene,selected_folds,frequency,positive_folds,negative_folds,zero_folds,modal_sign,sign_consistency,coefficient_mean,coefficient_sd,coefficient_median,coefficient_min,coefficient_max,analysis_key
RAB11FIP4,8,0.16,0,8,0,negative,1,-0.146918404311042,0.0408954415768446,-0.150158732319934,-0.207380770526517,-0.0766388119654036,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
LGALS9,7,0.14,0,7,0,negative,1,-0.228310008930568,0.0419810660780057,-0.231754350751471,-0.277645924287349,-0.158132965757612,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
MCCC2,7,0.14,0,7,0,negative,1,-0.170453981674776,0.0270640628621233,-0.171796578766498,-0.20460689810137,-0.119119316887725,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
JAGN1,6,0.12,0,6,0,negative,1,-0.205812209693393,0.0422825251958788,-0.204343407298819,-0.258093973080468,-0.140231574673057,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
LRRC8A,6,0.12,6,0,0,positive,1,0.175986282273232,0.0368835216026564,0.177893387571119,0.136903084626514,0.214368879438327,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOX2,5,0.1,0,5,0,negative,1,-0.26491606029017,0.0539507173379714,-0.261232737169233,-0.318287066086217,-0.186123923761995,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
KIAA1671,5,0.1,0,5,0,negative,1,-0.182225717469035,0.0617919340985412,-0.166618545093225,-0.25305031102295,-0.111347311632908,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
TAPBPL,5,0.1,0,5,0,negative,1,-0.171250901433779,0.058795884269695,-0.168776052350063,-0.246880362626278,-0.107671388841121,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CHDH,4,0.08,0,4,0,negative,1,-0.233595711010358,0.0389433006030668,-0.24269637436843,-0.267188077661616,-0.181802017642955,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CISH,4,0.08,0,4,0,negative,1,-0.172942628925556,0.0328051694851537,-0.164074459641472,-0.218973486191454,-0.144648110227825,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
L3MBTL4,4,0.08,0,4,0,negative,1,-0.318551536013045,0.0315423664097898,-0.321493305731384,-0.351075484765319,-0.280144047824094,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
PAK1,4,0.08,0,4,0,negative,1,-0.183684256668652,0.0597811699973985,-0.178080027199625,-0.258364219705654,-0.120212752569704,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
SCEL,4,0.08,4,0,0,positive,1,0.153437285263049,0.0577832515478681,0.140764300349496,0.104509852322527,0.227710688030677,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
SERPINB7,4,0.08,4,0,0,positive,1,0.204371831087062,0.0218092108197839,0.199250444992282,0.183784160660212,0.235202273703471,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
LY6D,3,0.06,3,0,0,positive,1,0.170897543289254,0.0526790207760108,0.187196274569774,0.111995416651159,0.213500938646831,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
PSME1,3,0.06,0,3,0,negative,1,-0.236905967102647,0.0894166133912523,-0.196989006030256,-0.339328427135466,-0.174400468142218,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
PXMP2,3,0.06,0,3,0,negative,1,-0.0835648896698821,0.0375720034202823,-0.0634553079826229,-0.126911706349833,-0.0603276546771904,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
