inner_fold,lambda_ratio,c_index,n_train,events_train,n_valid,events_valid,n_genes,model_fingerprint
4,0.001,0.564758009543286,459,152,114,38,30,bb795d5af8129c33f62fe12ca9a3aba4616911aef5e06d28198816956df71c1f
5,0.562341325190349,0.736379613356766,459,152,114,38,8,4a0e6d7c0a2c2f2ed1de3be577d87ba9a38ffe97d133355e7d0d47caa751c5a3
5,0.431933279405154,0.756414762741652,459,152,114,38,10,33341ff8cb16fe1813e2c7ed373b4c934697a340976ec4a40a5b7dda18ca9788
5,0.331767112784286,0.733216168717047,459,152,114,38,14,4b495c36072ff3abe765419471e1e36609bd1a4102f3c5d627ce429a0b38e731
5,0.254829674797935,0.721968365553603,459,152,114,38,18,442ad85b4d0ee6f8b745b6cce54b6b9cea04b8829a71c87ffe82cbeca622aff2
5,0.195734178148766,0.693145869947276,459,152,114,38,20,e827afa218689e6d659596aac56dc17ca3597456bad65af77400e28539bc006a
5,0.150343041978733,0.718453427065026,459,152,114,38,21,26683cbb30ad51320cf70459776641549ffe0d3d9af8a6954a8ba4cd879d385e
5,0.115478198468946,0.72688927943761,459,152,114,38,24,3d5c0b836fde189f17e7ddb06fb6c0ef41658a867c62a8cdf94ae1f5fd359ee8
5,0.0886985799018192,0.727592267135325,459,152,114,38,27,3f46338879671e7d31b36e54865246c9bd0085dedab9cfbef1489777bfe6c9c6
5,0.0681292069057962,0.735676625659051,459,152,114,38,30,603386b76fcb6ba368af484c0f0d486b466095c9693bc2b64324d547a9c986f1
5,0.0523299114681495,0.738137082601055,459,152,114,38,30,2e33f899da5d94ee8c910fb391f90b6aaf77f75d26bad579b86ae2362357bf52
5,0.0401945033361513,0.724780316344464,459,152,114,38,30,c67f86db0d203ed728cec1a23925087fc67d9a19b672411036286fa09382f00e
5,0.0308733199257026,0.724780316344464,459,152,114,38,30,855e04b274d19114bdc982984c310a42c9bb15a998ce78d12d7aafee82445846
5,0.0237137370566166,0.724780316344464,459,152,114,38,30,e4ff3a9fa725238986cd3bc2f8dc37988fd68e8481fff310f05f5ad1481c6a88
5,0.0182144753639595,0.724780316344464,459,152,114,38,30,22ba2fcd84dee9ffc7cbb6ced2f2effbefe5ee674cb9dad79f8abab25c0bad09
5,0.0139905031413729,0.724780316344464,459,152,114,38,30,573baa47839e8a3e95f424f2f7102667f9f80412464d2860426ad0823c0862cc
5,0.0107460782832132,0.724780316344464,459,152,114,38,30,fc7fd9a73ec5f5d4f9a2b2b21996f21b37ccb64bc8a1aa5d257629795fa2cfde
5,0.00825404185268019,0.724780316344464,459,152,114,38,30,7f4ef472c0234f1564672270d45f165c79f1a73ab713f5fced4489bd756c0508
5,0.00633991351172485,0.724780316344464,459,152,114,38,30,cfc33a30ed58817f99088e34cb23a36972cccecf4ac87f10848bc5dc200bfc0f
5,0.00486967525165863,0.724780316344464,459,152,114,38,30,159a7ac31cdeeff60ac737e30fcfbce8cc57d1197650328a6e9010b855115fa9
5,0.00374038810036779,0.724780316344464,459,152,114,38,30,db1a7a455c1c2622b7a9ab46a8baa770e325159ba243d8791036332d48363944
5,0.00287298483335367,0.724780316344464,459,152,114,38,30,37f080be36323f4977ea8095b8fe595b63d0e341cd4b2abc33467fc77c352772
5,0.00220673406908459,0.724780316344464,459,152,114,38,30,ae27201cbf7da261bb2932655fd1b10930e206fc2c0dafa5dbe5c1e63d656bb2
5,0.00169498815139035,0.724780316344464,459,152,114,38,30,6f807dd086d22ce07c17c40067f0173fd140b4d0dbbf4801d531bf00c5f36989
5,0.00130191710619008,0.724780316344464,459,152,114,38,30,f2cede85942673d9d715a2a9ee3676a5222a1fdebbb1643b5d6882f1c5cbe96f
5,0.001,0.724780316344464,459,152,114,38,30,5c858dfed375c47c4bfcec50a14fd8635d837c54b70ba1c8001e227d27206c91
