lambda_ratio,mean_c_index,sd_c_index,se_c_index,min_c_index,max_c_index,inner_folds,best_mean,one_se_eligible,selected,one_se_threshold,repeat_id,outer_fold,analysis_key
0.00130191710619008,0.59078317846458,0.0698984469962321,0.0312595358010482,0.492342597844583,0.656949505465903,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.001,0.59078317846458,0.0698984469962321,0.0312595358010482,0.492342597844583,0.656949505465903,5,FALSE,TRUE,FALSE,0.575686409655766,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.562341325190349,0.546097669444892,0.0530675667213769,0.0237325373179009,0.50415052573326,0.635555555555556,5,FALSE,TRUE,TRUE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.431933279405154,0.54471593833,0.0613365701444355,0.0274305480699284,0.480150214592275,0.644444444444444,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.331767112784286,0.548257460232037,0.0658240025709819,0.0294373888599673,0.486587982832618,0.658888888888889,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.254829674797935,0.557336825311402,0.0784600555644405,0.0350884035520999,0.486587982832618,0.69,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.195734178148766,0.558997035604706,0.0774122218623174,0.0346197980746874,0.486587982832618,0.69,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.150343041978733,0.558219257826928,0.0757690490813663,0.0338849488672906,0.486587982832618,0.686111111111111,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.115478198468946,0.559619758979097,0.0697949217675893,0.0312132379113219,0.486587982832618,0.675555555555556,5,TRUE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0886985799018192,0.554162401787926,0.0515325041338147,0.0230460364587997,0.486587982832618,0.631666666666667,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0681292069057962,0.556940179565704,0.0568542284344193,0.0254259839175326,0.486587982832618,0.645555555555556,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0523299114681495,0.555718387768373,0.0547083321770548,0.0244663099367067,0.486587982832618,0.64,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0401945033361513,0.557828207604811,0.0581424361520866,0.0260020879227014,0.486587982832618,0.648888888888889,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0308733199257026,0.556273512899038,0.0555601765636047,0.0248472663276222,0.486587982832618,0.642222222222222,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0237137370566166,0.553717957343482,0.0506998105199354,0.0226736445537869,0.486587982832618,0.629444444444444,5,FALSE,TRUE,FALSE,0.528406521067775,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
